conversationId,messageID,text
391,1033,@203371 was a good one
395,1050,@143189 r Wars Clones is a claymation movie.
397,1061,@163606 It is a nice movie. What say?
397,1062,@90950 Was a marvelous 3D experience personally for me
405,1077,@115908
407,1091,@184418
415,1143,@177160  is a good movie
418,1163,"@196336 is iconic, I've heard, it's on my list, haha"
418,1166,@202190 is a great one too! If you're looking for more good Stephen King movies try @181097
426,1202,@Misery is really creepy but really good. I only recently got into horror. Couldn't watch them when I was younger
426,1207,@141524 wasn't too bad
455,1249,"@187879 This one scared me, because it was set where I grew up,lol!"
455,1252,@127676 Did you ever see this one? It made my friend terrified of birds his whole life.
455,1259,@198619
458,1269,@95660 has the rock and Kevin Hart you may like that
459,1286,@176293 does seem like it would be funny
462,1312,@149916 with Jack Black is a comedy and true story
463,1327,@150451 was great as well
463,1328,@88960 was pretty good as well
465,1348,@169012 with Bruce Willis and Samuel Jackson is pretty good
466,1361,@162930 was pretty good if you have not seen that one
466,1369,@94474 was a good movie
468,1394,@173785 was very very funny Kevin Hart and Will Ferral together
469,1403,@124485 was pretty good its a spoof of star wars
469,1412,@76177 is one of my favorite comedy movies
470,1422,@170119 was pretty good
470,1425,@89770  was pretty good with Jim Carrey he pulled the thriller off well
471,1438,@133232 is another one of my favorites I have seen @111776 s it was pretty good
474,1453,@203424
474,1474,@100454
475,1464,@183056 I don't think I have ever seen that one.
475,1465,@128167 yeah some like the movie and some don't I love Reese Witherspoon.
475,1471,@81385 and @191375 are similar to @183056
477,1487,@196460 was a pretty good movie
477,1491,@142321 is a good surfing movie with Michelle Rodriguez
480,1502,@119116 was pretty good too
481,1511,@163704 and @77161 are some of my favorites
481,1515,@199888 was a pretty good one
481,1518,@127676 is another good one you may like
482,1531,@104180 was a good musical
503,1645,@100614 was pretty good and @110685
503,1646,@100614 was okay. I was hoping it would be better.
514,1704,@173785 was pretty good an older one I liked was @121179
514,1706,@158208 was pretty good
514,1710,@121179 has Bruce Willis and Tracey Morgan it is really funny
516,1723,@185171 is good too
518,1734,@119144  was excellent.
518,1746,@177276. Not the sequel.
519,1757,@198742 was weird but if you like Will Farrell it's good.
519,1764,"@98088 was good, but not the sequel."
522,1776,@187028 was great!
522,1786,@204899 looks pretty good.
554,1916,@162794 was really good I just watched it the other night.
554,1923,@93013  is one you'd probably like and the sequel comes out soon
